pecha_id,batch,n_raw,n_final,unfixed_rate,shape_rate,verdict
IB45DE768,new,1,1,0.0,1.0,keep
IB47565DE,new,41,41,0.0,1.0,keep
IB4B89F9C,new,3,3,0.0,1.0,keep
IB503BC08,new,1,1,0.0,1.0,keep
IB522F095,new,23,23,0.0,1.0,keep
IB5F523B2,new,1,1,0.0,1.0,keep
IB8D599AA,new,39,39,0.0,1.0,keep
IB8EEB9FB,new,17,17,0.0,1.0,keep
IB8F4E5BE,new,14,14,0.0,1.0,keep
IB9CA8898,new,3,3,0.0,1.0,keep
IBB199AAB,new,1,1,0.0,1.0,keep
IBB812389,new,1,1,0.0,1.0,keep
IBBB26EA1,new,1,1,0.0,1.0,keep
IBBFC3AAB,new,1,1,0.0,1.0,keep
IBC775AF6,new,4,4,0.0,1.0,keep
IBCF6B0BA,new,1,1,0.0,1.0,keep
IBD1386A4,new,2,2,0.0,1.0,keep
IBF8C5BB6,new,7,7,0.0,1.0,keep
IBFACCCDF,new,1,1,0.0,1.0,keep
IC05A6BE0,new,7,7,0.0,1.0,keep
IC3A7006F,new,10,10,0.0,1.0,keep
IC421942A,new,1,1,0.0,1.0,keep
IC555D0EB,new,4,4,0.0,1.0,keep
IC5CE7FE9,new,7,7,0.0,1.0,keep
IC6F06BCD,new,10,10,0.0,1.0,keep
IC7A5FC73,new,1,1,0.0,1.0,keep
IC87920B7,new,11,11,0.0,1.0,keep
IC8A4519C,new,1,1,0.0,1.0,keep
IC99C24DC,new,1,1,0.0,1.0,keep
IC9EE0A24,new,1,1,0.0,1.0,keep
ICC9840B6,new,32,32,0.0,1.0,keep
ICDC84458,new,9,9,0.0,1.0,keep
ID13E3867,new,1,1,0.0,1.0,keep
ID4AD2D0E,new,1,1,0.0,1.0,keep
ID5714205,new,2,2,0.0,1.0,keep
ID6DDE9E3,new,1,1,0.0,1.0,keep
ID8FE83E3,new,1,1,0.0,1.0,keep
IDA8C4CE5,new,1,1,0.0,1.0,keep
IDAB254F1,new,1,1,0.0,1.0,keep
IDACD7FC0,new,1,1,0.0,1.0,keep
IDAE0EA08,new,2,2,0.0,1.0,keep
IDB6093E9,new,16,16,0.0,0.938,keep
IDBFF9DE3,new,3,3,0.0,1.0,keep
IDDA7F69E,new,25,25,0.0,1.0,keep
IDDB46142,new,1,1,0.0,1.0,keep
IDF77FDDD,new,1,1,0.0,1.0,keep
IE0AB7438,new,2,2,0.0,1.0,keep
IE166DA22,new,1,1,0.0,1.0,keep
IE1B4BBB9,new,2,2,0.0,0.5,keep
IE1ECB287,new,1,1,0.0,1.0,keep
IE2421BEA,new,2,2,0.0,1.0,keep
IE3ACE254,new,2,2,0.0,1.0,keep
IE5895799,new,25,25,0.0,1.0,keep
IE79CC998,new,2,2,0.0,1.0,keep
IE8EB4CB4,new,1,1,0.0,1.0,keep
IE9C4806D,new,2,2,0.0,0.5,keep
IEA9B747E,new,8,8,0.0,1.0,keep
IEDFED305,new,1,1,0.0,1.0,keep
IEE67309C,new,8,8,0.0,0.875,keep
IEEB908B0,new,1,1,0.0,1.0,keep
IEEBAD11E,new,1,1,0.0,1.0,keep
IEEC9CCA9,new,1,1,0.0,1.0,keep
IEF3A4022,new,1,1,0.0,1.0,keep
IF30A1358,new,1,1,0.0,1.0,keep
IF428CDDB,new,13,13,0.0,1.0,keep
IF4C4BF01,new,9,9,0.0,1.0,keep
IF4F5D041,new,2,2,0.0,1.0,keep
IF5AAE849,new,1,1,0.0,1.0,keep
IF69FF8A7,new,1,1,0.0,1.0,keep
IF6B54962,new,1,1,0.0,1.0,keep
IF7A04537,new,1,1,0.0,1.0,keep
IF84B2E71,new,20,20,0.0,1.0,keep
IF85C9484,new,11,11,0.0,1.0,keep
IFA88A536,new,8,8,0.0,1.0,keep
IFAAADEA1,new,1,1,0.0,1.0,keep
IFC5AD8FD,new,1,1,0.0,1.0,keep
IFF05DE5E,new,1,1,0.0,1.0,keep
IFF541F44,new,7,7,0.0,1.0,keep
IFFA911F5,new,1,1,0.0,1.0,keep
P000010,old,97,97,0.0,1.0,keep
P000011,old,81,81,0.0,1.0,keep
P000013,old,2,2,0.0,1.0,keep
P000015,old,23,23,0.0,1.0,keep
P000016,old,65,65,0.015,0.862,keep
P000018,old,1,1,0.0,1.0,keep
P000020,old,1,1,0.0,1.0,keep
P000021,old,5,5,0.0,0.8,keep
P000022,old,12,12,0.0,1.0,keep
P000023,old,1,1,0.0,1.0,keep
P000027,old,2,2,0.0,1.0,keep
P000028,old,2,2,0.0,1.0,keep
P000029,old,2,2,0.0,0.5,keep
P000030,old,19,19,0.0,1.0,keep
P000032,old,1,1,0.0,0.0,keep
P000033,old,1,1,0.0,1.0,keep
P000034,old,8,8,0.0,1.0,keep
P000036,old,28,28,0.0,1.0,keep
P000037,old,17,14,0.118,0.5,keep
P000040,old,1,1,0.0,1.0,keep
P000044,old,13,13,0.0,1.0,keep
P000045,old,1,1,0.0,1.0,keep
P000046,old,15,15,0.0,1.0,keep
P000047,old,11,11,0.0,1.0,keep
P000048,old,2,2,0.0,1.0,keep
P000051,old,5,5,0.0,0.6,keep
P000052,old,1,1,0.0,1.0,keep
P000053,old,2,2,0.0,1.0,keep
P000054,old,4,4,0.0,1.0,keep
P000055,old,4,4,0.0,1.0,keep
P000056,old,2,2,0.0,1.0,keep
P000061,old,1,1,0.0,1.0,keep
P000062,old,2,2,0.0,1.0,keep
P000063,old,6,6,0.0,0.333,exclude
P000067,old,7,7,0.0,1.0,keep
P000068,old,1,1,0.0,1.0,keep
P000070,old,8,8,0.0,1.0,keep
P000071,old,10,10,0.0,0.8,keep
P000072,old,1,1,0.0,1.0,keep
P000074,old,2,2,0.0,1.0,keep
P000076,old,1,1,0.0,1.0,keep
P000078,old,2,2,0.0,1.0,keep
P000079,old,13,13,0.0,1.0,keep
P000080,old,31,31,0.0,1.0,keep
P000084,old,4,4,0.0,1.0,keep
P000085,old,1,1,0.0,1.0,keep
P000087,old,31,29,0.0,0.483,exclude
P000089,old,6,6,0.0,1.0,keep
P000091,old,5,5,0.0,1.0,keep
P000094,old,4,4,0.0,1.0,keep
P000095,old,2,2,0.0,1.0,keep
P000097,old,1,1,0.0,1.0,keep
P000098,old,1,1,0.0,1.0,keep
P000099,old,3,3,0.0,1.0,keep
P000100,old,1,1,0.0,1.0,keep
P000106,old,47,47,0.0,1.0,keep
P000107,old,1,1,0.0,1.0,keep
P000108,old,54,54,0.0,1.0,keep
P000109,old,1,1,0.0,1.0,keep
P000110,old,8,8,0.0,1.0,keep
P000111,old,2,2,0.0,1.0,keep
P000112,old,2,2,0.0,1.0,keep
P000114,old,1,1,0.0,1.0,keep
P000115,old,3,3,0.0,1.0,keep
P000116,old,2,2,0.0,1.0,keep
P000117,old,45,45,0.089,0.044,exclude
P000118,old,4,4,0.0,1.0,keep
P000119,old,8,8,0.0,1.0,keep
P000123,old,1,1,0.0,1.0,keep
P000124,old,1,1,0.0,1.0,keep
P000125,old,1,1,0.0,1.0,keep
P000126,old,3,3,0.0,1.0,keep
P000127,old,15,15,0.0,1.0,keep
P000128,old,1,1,0.0,1.0,keep
P000130,old,111,111,0.0,1.0,keep
P000132,old,4,4,0.0,0.75,keep
P000134,old,1,1,0.0,1.0,keep
P000137,old,1,1,0.0,1.0,keep
P000138,old,2,2,0.0,1.0,keep
P000140,old,2,2,0.0,1.0,keep
P000141,old,4,4,0.0,1.0,keep
P000142,old,1,1,0.0,1.0,keep
P000143,old,1,1,0.0,1.0,keep
P000144,old,7,7,0.0,0.286,exclude
P000145,old,1,1,0.0,1.0,keep
P000148,old,11,11,0.0,1.0,keep
P000149,old,27,27,0.0,1.0,keep
P000150,old,2,2,0.0,1.0,keep
P000151,old,5,5,0.0,0.0,exclude
P000152,old,3,3,0.0,1.0,keep
P000153,old,4,4,0.0,0.0,exclude
P000156,old,12,12,0.083,0.083,exclude
P000158,old,1,1,0.0,1.0,keep
P000159,old,3,3,0.0,1.0,keep
P000160,old,30,30,0.0,1.0,keep
P000162,old,1,1,0.0,1.0,keep
P000163,old,1,1,0.0,1.0,keep
P000169,old,2,2,0.0,1.0,keep
P000170,old,15,15,0.2,0.4,exclude
P000171,old,127,127,0.0,0.992,keep
P000172,old,1,1,0.0,1.0,keep
P000173,old,1,1,0.0,1.0,keep
P000175,old,3,3,0.0,0.333,exclude
P000177,old,1,1,0.0,1.0,keep
P000178,old,1,1,0.0,1.0,keep
P000179,old,8,8,0.0,0.125,exclude
P000182,old,1,1,0.0,1.0,keep
P000183,old,2,2,0.0,1.0,keep
P000185,old,10,10,0.0,0.3,exclude
P000188,old,16,16,0.0,0.938,keep
P000192,old,1,1,0.0,1.0,keep
P000194,old,1,1,0.0,1.0,keep
P000195,old,3,3,0.0,0.667,keep
P000198,old,21,21,0.0,0.667,keep
P000199,old,5,5,0.4,0.4,exclude
P000200,old,5,5,0.0,1.0,keep
P000201,old,2,2,0.0,0.5,keep
P000202,old,1,1,0.0,1.0,keep
P000203,old,4,4,0.0,1.0,keep
P000204,old,83,83,0.0,0.988,keep
P000205,old,14,14,0.0,1.0,keep
P000206,old,1,1,0.0,0.0,keep
P000207,old,4,4,0.0,1.0,keep
P000211,old,20,20,0.0,1.0,keep
P000213,old,2,2,0.0,1.0,keep
P000215,old,7,7,0.0,0.714,keep
P000216,old,1,1,0.0,1.0,keep
P000217,old,5,5,0.0,1.0,keep
P000218,old,15,15,0.0,0.933,keep
P000220,old,12,12,0.0,1.0,keep
P000223,old,1,1,0.0,1.0,keep
P000224,old,4,4,0.0,1.0,keep
P000226,old,24,24,0.0,0.042,exclude
P000227,old,8,8,0.0,1.0,keep
P000229,old,18,18,0.111,0.222,exclude
P000230,old,1,1,0.0,1.0,keep
P000232,old,1,1,0.0,1.0,keep
P000235,old,1,1,0.0,1.0,keep
P000236,old,22,22,0.0,1.0,keep
P000237,old,1,1,0.0,1.0,keep
P000238,old,5,5,0.0,1.0,keep
P000240,old,17,17,0.0,1.0,keep
P000245,old,24,24,0.0,1.0,keep
P000246,old,2,2,0.0,1.0,keep
P000248,old,1,1,0.0,1.0,keep
P000250,old,10,10,0.0,0.0,exclude
P000252,old,1,1,0.0,1.0,keep
P000253,old,9,9,0.0,1.0,keep
P000254,old,1,1,0.0,1.0,keep
P000255,old,1,1,0.0,1.0,keep
P000259,old,1,1,0.0,1.0,keep
P000260,old,1,1,0.0,1.0,keep
P000261,old,1,1,0.0,1.0,keep
P000263,old,4,4,0.0,1.0,keep
P000265,old,14,14,0.0,1.0,keep
P000266,old,1,1,0.0,1.0,keep
P000269,old,4,4,0.0,0.25,exclude
P000270,old,2,2,0.0,1.0,keep
P000275,old,54,54,0.0,0.963,keep
